3449,0,3078,6443
3616,65180,103857,-136249
3801,58059,77665,-235289
4002,57455,77510,-235668
4208,57290,77635,-235899
4406,57362,77581,-235696
4617,57390,77467,-235940
4807,57440,77736,-236423
5003,57496,77510,-235871
5204,57377,77411,-236119
5403,57398,77338,-235827
5618,57327,77357,-235802
5804,57665,77585,-235896
6002,57432,77486,-236241
6202,57444,77302,-235970
6403,57231,77603,-235897
6603,57391,77643,-235960
6812,57149,77679,-236042
7003,57148,77646,-235808
7206,57286,77753,-235721
7404,57502,77503,-235878
7607,57539,77465,-235941
7801,57491,77469,-235717
8004,57373,77381,-235955
8207,57153,77215,-236112
8407,57430,77225,-235982
8604,57456,77625,-236087
8803,57472,77558,-235695
9006,57441,77595,-236277
9210,57188,77601,-235917
9407,57524,77905,-236054
9605,57170,77704,-235762
9806,57306,77952,-235885
10004,57257,77660,-235777
10206,57513,77622,-235880
10406,57255,77527,-235865
10609,57279,77529,-235986
10808,57161,77398,-235785
11001,57350,77160,-236099
11207,57201,77365,-236089
11406,57152,77381,-236181
11604,57363,77311,-236159
11807,57182,77491,-236032
12003,57174,77658,-236142
12210,57456,77546,-236377
12405,57317,77715,-235818
12608,57198,77581,-235867
12812,57322,77659,-236128
13023,57351,77628,-236314
13204,57323,77587,-236140
13408,57340,77603,-236105
13602,57143,77463,-235871
13804,57433,77427,-235939
14004,57296,77285,-236005
14201,57614,77517,-235996
14403,57698,77714,-235731
14602,57498,77884,-235892
14812,57580,77763,-235694
15012,57666,77729,-235884
15202,57578,77906,-235783
15402,57445,77507,-235966
15614,57484,77671,-236055
15806,57431,77447,-235799
16005,57413,77468,-236025
16208,57588,77552,-235919
16409,57545,77419,-235922
16611,57520,77649,-236079
16802,57452,77619,-236087
17002,57445,77359,-235830
17206,57388,77268,-236002
17401,57318,77425,-235901
17607,57325,77574,-235658
17804,57579,77587,-236006
18009,57296,77491,-235879
18208,57398,77659,-235914
18407,57620,77805,-235943
18603,57186,77524,-235532
18808,57422,77591,-236229
19001,57305,77460,-236000
19203,57413,77405,-236006
19406,57382,77468,-236089
19610,57246,77508,-236054
19812,57142,77434,-236184
20007,57365,77464,-236133
20202,57184,77734,-235750
20421,57638,77522,-235979
20615,57351,77298,-236188
20805,57146,77417,-236070
21004,57318,77425,-236069
21206,57297,77611,-235995
21409,57591,77767,-236290
21601,57484,77852,-236100
21803,57311,77616,-235773
22002,57475,77506,-235579
22208,57337,77762,-235597
22402,57303,77513,-235949
22611,57380,77523,-235697
22803,57148,77465,-235866
23007,57325,77510,-235870
23203,57122,77400,-235491
23405,57358,77457,-235794
23604,57399,77425,-235498
23805,57447,77414,-235629
24012,57129,77382,-235650
24218,57314,77611,-235687
24405,57294,77567,-235836
24606,57420,77689,-235574
24807,57413,77625,-235762
25004,57405,77639,-235770
25205,57424,77732,-235537
25406,57325,77727,-235754
25610,57382,77392,-235931
25808,57423,77733,-235597
26007,57476,77664,-236104
26218,57403,77343,-235962
26410,57322,77490,-236328
26610,57215,77417,-235799
26804,57596,77637,-235970
27007,57442,77523,-235646
27210,57400,77591,-235885
27409,57470,77667,-235860
27609,57566,77604,-236099
27805,57332,77587,-235816
28008,57592,77851,-235989
28215,57481,77784,-235865
28401,57347,77662,-235757
